zip_code,latitude,longitude,city,state,county
92112,33.016928,-116.846046,San Diego,CA,San Diego
92113,32.694601,-117.121678,San Diego,CA,San Diego
92114,32.70614,-117.051651,San Diego,CA,San Diego
92115,32.7576,-117.070688,San Diego,CA,San Diego
92116,32.7654,-117.127894,San Diego,CA,San Diego
92117,32.818398,-117.197168,San Diego,CA,San Diego
92118,32.656176,-117.160815,Coronado,CA,San Diego
92119,32.815849,-117.033162,San Diego,CA,San Diego
92120,32.794947,-117.079863,San Diego,CA,San Diego
92121,32.90391,-117.207828,San Diego,CA,San Diego
92122,32.856847,-117.208027,San Diego,CA,San Diego
92123,32.810983,-117.136812,San Diego,CA,San Diego
92124,32.818733,-117.082387,San Diego,CA,San Diego
92126,32.899613,-117.144916,San Diego,CA,San Diego
92127,33.021243,-117.120915,San Diego,CA,San Diego
92128,32.995484,-117.07483,San Diego,CA,San Diego
92129,32.965012,-117.126619,San Diego,CA,San Diego
92130,32.952467,-117.161871,San Diego,CA,San Diego
92131,32.874916,-117.088322,San Diego,CA,San Diego
92132,32.643703,-117.138414,San Diego,CA,San Diego
92133,32.733507,-117.216451,San Diego,CA,San Diego
92134,32.562106,-117.07166,San Diego,CA,San Diego
92135,33.016928,-116.846046,San Diego,CA,San Diego
92136,32.68342,-117.121913,San Diego,CA,San Diego
92137,32.85377,-117.119744,San Diego,CA,San Diego
92138,33.016928,-116.846046,San Diego,CA,San Diego
92139,32.68018,-117.047627,San Diego,CA,San Diego
92140,32.74344,-117.200412,San Diego,CA,San Diego
92142,33.016928,-116.846046,San Diego,CA,San Diego
92143,33.016928,-116.846046,San Ysidro,CA,San Diego
92145,32.889139,-117.100486,San Diego,CA,San Diego
92147,33.016928,-116.846046,San Diego,CA,San Diego
92149,33.016928,-116.846046,San Diego,CA,San Diego
92150,33.016928,-116.846046,San Diego,CA,San Diego
92152,33.016928,-116.846046,San Diego,CA,San Diego
92153,33.016928,-116.846046,San Diego,CA,San Diego
92154,32.628038,-117.035225,San Diego,CA,San Diego
92155,32.671602,-117.165665,San Diego,CA,San Diego
92158,33.016928,-116.846046,San Diego,CA,San Diego
92159,33.016928,-116.846046,San Diego,CA,San Diego
92160,33.016928,-116.846046,San Diego,CA,San Diego
92161,32.871846,-117.229119,San Diego,CA,San Diego
92162,33.016928,-116.846046,San Diego,CA,San Diego
92163,33.016928,-116.846046,San Diego,CA,San Diego
92164,33.016928,-116.846046,San Diego,CA,San Diego
92165,33.016928,-116.846046,San Diego,CA,San Diego
92166,33.016928,-116.846046,San Diego,CA,San Diego
92167,33.016928,-116.846046,San Diego,CA,San Diego
92168,33.016928,-116.846046,San Diego,CA,San Diego
92169,33.016928,-116.846046,San Diego,CA,San Diego
92170,33.016928,-116.846046,San Diego,CA,San Diego
92171,33.016928,-116.846046,San Diego,CA,San Diego
92172,33.016928,-116.846046,San Diego,CA,San Diego
92173,32.566356,-116.997475,San Ysidro,CA,San Diego
92174,33.016928,-116.846046,San Diego,CA,San Diego
92175,33.016928,-116.846046,San Diego,CA,San Diego
92176,33.016928,-116.846046,San Diego,CA,San Diego
92177,33.016928,-116.846046,San Diego,CA,San Diego
92178,33.016928,-116.846046,Coronado,CA,San Diego
92179,32.572602,-116.918724,San Diego,CA,San Diego
92182,32.775088,-117.076176,San Diego,CA,San Diego
92184,33.016928,-116.846046,San Diego,CA,San Diego
92186,33.016928,-116.846046,San Diego,CA,San Diego
92187,33.016928,-116.846046,San Diego,CA,San Diego
92190,33.016928,-116.846046,San Diego,CA,San Diego
92191,33.016928,-116.846046,San Diego,CA,San Diego
92192,33.016928,-116.846046,San Diego,CA,San Diego
92193,33.016928,-116.846046,San Diego,CA,San Diego
92194,33.016928,-116.846046,San Diego,CA,San Diego
92195,33.016928,-116.846046,San Diego,CA,San Diego
92196,33.016928,-116.846046,San Diego,CA,San Diego
92197,33.016928,-116.846046,San Diego,CA,San Diego
92198,33.016928,-116.846046,San Diego,CA,San Diego
92199,32.751575,-117.191848,San Diego,CA,San Diego
